 status Perkawinan;Kursus;Kehadiran siang/malam;Kualifikasi sebelumnya;Kualifikasi sebelumnya(Nilai);Kualifikasi Ibu;Kualifikasi Ayah;Pekerjaan Ibu;Pekerjaan Ayah ;Nilai Penerimaan ;Pendidikan Khusus;Biaya Kuliah terkini ;Gender;Pemegang beasiswa;Usia saat pendaftaran;Unit kurikulum semester1 (dikreditkan);Unit kurikulum semester1 (Terdaftar);Unit kurikulum semester1 (Evaluasi);Unit kurikulum semester1 (Disetujui );Unit kurikulum semester1 (Kelas);Unit kurikulum semester1 (Tanpa  evaluasi);Unit kurikuler semester2(dikreditkan);Unit kurikuler semester2(Terdaftar);Unit kurikuler semester2(Evaluasi);Unit kurikuler semester2(Disetujui);Curricular units 2nd sem (grade);Unit kurikuler semester2(Tanpa evaluasi);tingkat Pengangguran;Tingkat inflasi;GDP;Target
1;9773;1;1;120.00.00;1;38;5;5;121.04.00;0;0;0;0;20;0;6;7;4;13.00;0;0;6;7;5;13.08;0;12.04;00.05;0,096527778;Dropout
1;9991;0;1;133.01.00;37;37;9;9;109.07.00;0;1;0;0;29;0;5;0;0;00.00;0;0;5;0;0;00.00;0;16.02;00.03;-0.92;Dropout
1;9991;0;1;154.00.00;38;38;4;5;134.01.00;0;1;0;0;24;0;5;9;2;11.05;0;0;5;11;3;14.333.333.333.333.300;1;07.06;02.06;00.32;Enrolled
1;9238;1;1;130.00.00;19;19;9;9;127.06.00;0;1;0;0;18;0;6;6;6;11.666.666.666.666.600;0;0;6;8;5;13.02;0;11.01;00.06;02.02;Graduate
1;9500;1;1;132.00.00;37;19;7;7;132.04.00;0;1;0;1;22;0;7;8;6;13.516.666.666.666.600;0;0;8;9;7;13.771.428.571.428.500;0;11.01;00.06;02.02;Graduate
1;8014;0;39;130.00.00;1;19;9;9;133.04.00;0;1;0;1;21;3;6;6;6;11.05;0;2;6;7;6;13.285.714.285.714.200;0;12.04;00.05;0,096527778;Graduate
1;9238;1;1;139.00.00;37;38;9;9;126.01.00;0;1;0;1;19;0;6;7;5;12.333.333.333.333.300;0;0;6;7;6;12.833.333.333.333.300;0;12.07;03.07;-1.7;Graduate
1;9254;1;1;130.00.00;19;38;9;7;113.05.00;0;1;0;1;24;0;6;6;6;13.666.666.666.666.600;0;0;6;6;6;14.166.666.666.666.600;0;12.04;00.05;0,096527778;Graduate
1;9500;1;1;139.00.00;37;38;6;6;121.03.00;0;1;0;1;19;0;8;10;6;11.833.333.333.333.300;0;0;8;10;6;11.833.333.333.333.300;0;09.04;-0.8;-3.12;Enrolled
1;9773;1;1;127.00.00;1;19;7;7;121.08.00;0;1;0;1;20;0;6;11;4;14.00;0;0;6;12;3;11.00;0;09.04;-0.8;-3.12;Enrolled
1;9130;1;1;167.00.00;37;37;90;90;159.03.00;0;1;0;0;19;0;5;7;5;14.714.285.714.285.700;0;0;5;5;5;15.08;0;07.06;02.06;00.32;Graduate
1;9991;0;1;130.00.00;38;38;9;9;120.00.00;0;1;0;0;27;0;5;12;5;10.06;0;0;5;10;5;11.00;0;09.04;-0.8;-3.12;Dropout
1;9500;1;1;130.00.00;1;19;5;5;129.01.00;0;1;0;0;18;0;7;9;7;13.044.444.444.444.400;0;0;8;10;8;13.595;0;15.05;02.08;-4.06;Graduate
2;9254;1;3;130.00.00;1;3;4;3;130.00.00;0;1;0;0;39;0;6;10;0;00.00;0;0;6;6;0;00.00;0;12.04;00.05;0,096527778;Dropout
1;9130;1;40;129.00.00;3;3;2;2;155.03.00;0;1;0;0;27;0;6;9;5;13.00;0;5;11;13;10;12.09;0;12.04;00.05;0,096527778;Dropout
1;9500;1;1;141.00.00;38;38;7;10;139.08.00;0;1;0;0;18;0;8;8;8;14.935;0;0;8;8;8;14.935;0;09.04;-0.8;-3.12;Graduate
1;171;1;1;125.00.00;38;37;4;9;115.02.00;0;1;0;0;18;0;0;0;0;00.00;0;0;0;0;0;00.00;0;07.06;02.06;00.32;Enrolled
1;9500;1;1;125.00.00;19;19;9;9;114.09.00;0;1;0;0;18;0;7;8;6;13.133.333.333.333.300;0;0;8;12;7;12.221.428.571.428.500;0;16.02;00.03;-0.92;Graduate
1;9238;1;39;130.00.00;19;1;9;9;131.09.00;0;1;0;1;21;3;6;7;6;12.00;0;2;6;7;6;12.00;0;13.09;-0.3;0,054861111;Graduate
1;171;1;1;133.00.00;1;37;4;7;126.00.00;0;1;1;1;19;0;0;0;0;00.00;0;0;0;0;0;00.00;0;10.08;01.04;0,093055556;Enrolled
1;9070;1;1;127.00.00;1;1;3;4;130.02.00;0;1;1;0;19;0;6;6;5;11.04;0;0;6;8;1;10.00;0;10.08;01.04;0,093055556;Enrolled
1;9070;1;1;116.00.00;1;1;3;3;120.09.00;0;1;1;0;24;0;6;6;0;00.00;0;0;6;6;0;00.00;0;12.07;03.07;-1.7;Enrolled
4;9500;1;19;133.01.00;1;1;5;5;126.00.00;0;1;1;0;29;2;7;10;5;11.09;0;1;8;10;5;11.00;0;13.09;-0.3;0,054861111;Dropout
1;171;1;1;139.00.00;19;19;5;3;128.02.00;0;1;1;1;19;0;0;0;0;00.00;0;0;0;0;0;00.00;0;10.08;01.04;0,093055556;Graduate
1;9003;1;39;130.00.00;19;37;9;9;130.00.00;0;1;1;0;23;0;6;8;6;12.571.428.571.428.500;0;0;6;7;6;12.428.571.428.571.400;0;08.09;01.04;03.51;Graduate
1;9147;1;1;125.00.00;1;38;7;7;120.01.00;0;1;1;0;19;0;5;8;5;11.02;0;0;5;10;4;0,46875;3;16.02;00.03;-0.92;Dropout
1;9254;1;1;160.00.00;19;37;7;10;100.00.00;0;1;1;0;26;0;6;7;6;12.00;0;0;6;8;5;10.08;0;12.07;03.07;-1.7;Enrolled
1;9147;1;1;148.00.00;38;37;5;5;134.00.00;0;1;1;0;18;0;5;9;0;00.00;0;0;5;5;0;00.00;0;07.06;02.06;00.32;Enrolled
1;9500;1;1;150.00.00;37;19;8;4;130.08.00;0;1;1;0;24;0;7;8;7;11.975;0;0;8;8;8;0,59375;0;13.09;-0.3;0,054861111;Graduate
1;171;1;1;141.00.00;19;19;5;10;135.08.00;0;1;1;0;19;0;0;0;0;00.00;0;0;0;0;0;00.00;0;15.05;02.08;-4.06;Dropout
1;9254;1;1;118.00.00;38;37;5;7;111.07.00;0;1;1;0;18;0;6;12;3;11.666.666.666.666.600;0;0;6;12;1;12.00;0;12.04;00.05;0,096527778;Dropout
1;9773;1;1;142.00.00;38;38;9;9;132.09.00;0;1;1;0;18;0;6;8;6;12.333.333.333.333.300;0;0;6;11;3;12.333.333.333.333.300;0;10.08;01.04;0,093055556;Graduate
1;9147;1;1;120.00.00;19;19;4;7;115.05.00;0;1;1;0;18;0;5;8;3;10.333.333.333.333.300;0;0;5;11;3;10.857.142.857.142.800;0;10.08;01.04;0,093055556;Dropout
1;9254;1;1;106.00.00;19;37;7;7;106.00.00;0;1;1;1;21;0;6;8;4;10.05;0;0;6;11;1;11.00;0;09.04;-0.8;-3.12;Dropout
1;9773;1;1;121.00.00;1;19;9;8;120.03.00;0;1;1;1;19;0;6;6;6;13.666.666.666.666.600;0;0;6;6;6;13.333.333.333.333.300;0;08.09;01.04;03.51;Graduate
1;9500;1;1;150.00.00;38;37;9;9;130.08.00;0;1;1;1;22;0;7;7;7;14.842.857.142.857.100;0;0;8;9;8;15.055.555.555.555.500;0;16.02;00.03;-0.92;Graduate
2;8014;0;1;120.00.00;37;37;9;6;117.00.00;0;1;1;0;33;0;6;8;6;12.00;0;0;6;6;6;11.666.666.666.666.600;0;10.08;01.04;0,093055556;Graduate
1;9853;1;1;114.00.00;19;19;9;9;110.02.00;0;1;1;0;20;0;6;8;5;12.02;0;0;6;7;5;12.02;0;10.08;01.04;0,093055556;Dropout
1;9991;0;2;140.00.00;3;3;2;2;155.07.00;0;1;1;0;35;0;1;1;0;00.00;1;0;5;0;0;00.00;0;10.08;01.04;0,093055556;Dropout
1;9003;1;4;160.00.00;3;3;4;2;180.04.00;0;1;1;0;24;6;12;17;6;12.166.666.666.666.600;0;7;12;14;10;13.03;0;12.04;00.05;0,096527778;Dropout
1;9254;1;1;120.00.00;19;19;4;4;125.05.00;0;1;1;0;18;0;5;6;5;12.00;0;0;5;8;3;11.333.333.333.333.300;0;12.07;03.07;-1.7;Enrolled
2;8014;0;1;130.00.00;37;37;9;6;110.00.00;0;1;0;0;33;0;6;7;6;11.00;0;0;6;11;5;11.00;0;09.04;-0.8;-3.12;Graduate
1;9500;1;1;160.00.00;37;38;9;7;161.00.00;0;1;0;1;22;0;8;8;7;13.08;0;0;8;8;7;13.08;0;10.08;01.04;0,093055556;Graduate
1;9670;1;1;120.00.00;1;19;4;5;100.00.00;0;1;0;1;25;0;5;7;4;10.05;0;0;5;7;5;11.06;0;09.04;-0.8;-3.12;Graduate
1;9070;1;1;124.00.00;19;38;4;0;117.06.00;0;1;1;0;20;0;6;9;6;10.666.666.666.666.600;1;0;6;6;5;11.02;0;07.06;02.06;00.32;Graduate
1;9147;1;1;143.00.00;38;37;9;9;128.07.00;0;1;1;0;23;0;5;6;4;14.00;0;0;5;5;5;13.08;0;11.01;00.06;02.02;Enrolled
1;9119;1;1;115.00.00;38;19;9;6;112.02.00;0;1;1;0;18;0;5;9;2;10.00;0;0;5;9;0;00.00;0;15.05;02.08;-4.06;Enrolled
1;9500;1;1;133.01.00;1;1;4;10;100.08.00;0;1;1;0;24;0;7;18;0;00.00;0;0;7;7;0;00.00;0;13.09;-0.3;0,054861111;Dropout
1;9773;1;1;133.01.00;19;1;9;9;105.00.00;0;0;0;0;21;0;6;6;6;14.00;0;0;6;6;6;13.05;0;08.09;01.04;03.51;Graduate
1;9130;1;1;133.01.00;1;1;4;4;100.00.00;0;1;0;0;26;0;6;7;2;12.00;1;0;6;6;0;00.00;0;08.09;01.04;03.51;Dropout
2;9853;1;10;133.01.00;37;34;0;0;115.05.00;0;1;0;0;39;0;6;12;3;12.666.666.666.666.600;0;0;6;14;0;00.00;1;07.06;02.06;00.32;Dropout
2;8014;0;1;133.01.00;37;19;9;9;114.00.00;0;1;0;0;44;2;8;11;8;11.875;0;0;6;7;6;12.333.333.333.333.300;0;12.07;03.07;-1.7;Graduate
1;9119;1;1;130.00.00;38;3;9;2;137.00.00;0;1;1;0;19;0;5;9;5;14.00;0;0;5;11;3;13.25;0;13.09;-0.3;0,054861111;Enrolled
1;9773;1;1;135.00.00;37;1;5;5;124.09.00;0;1;0;0;18;0;6;6;6;13.666.666.666.666.600;0;0;6;6;6;13.333.333.333.333.300;0;08.09;01.04;03.51;Graduate
1;9500;1;1;132.00.00;37;37;7;7;120.03.00;0;1;0;1;18;0;7;7;7;0,59375;0;0;8;9;8;1.447.777.777.777.770;0;12.04;00.05;0,096527778;Graduate
1;9085;1;1;135.00.00;1;2;9;1;134.03.00;0;1;0;0;19;0;5;7;5;14.02;2;0;5;7;5;13.08;0;12.07;03.07;-1.7;Enrolled
1;9500;1;1;115.00.00;3;3;2;2;111.05.00;0;0;0;0;19;0;7;10;4;0,525;0;0;7;7;0;00.00;0;13.09;-0.3;0,054861111;Dropout
1;9085;1;42;130.00.00;38;38;9;9;128.08.00;0;1;0;0;21;7;10;12;8;12.875;0;4;9;14;5;13.04;0;08.09;01.04;03.51;Dropout
1;171;1;1;133.01.00;1;1;9;10;110.00.00;0;1;0;0;20;0;0;0;0;00.00;0;0;0;0;0;00.00;0;16.02;00.03;-0.92;Graduate
2;8014;0;1;130.00.00;37;37;6;5;113.05.00;0;1;0;0;36;0;6;0;0;00.00;0;0;6;0;0;00.00;0;09.04;-0.8;-3.12;Dropout
4;9003;1;12;133.01.00;37;37;9;6;160.00.00;0;1;0;0;43;13;18;19;18;1.463.157.894.736.840;0;10;13;14;13;1.423.076.923.076.920;1;15.05;02.08;-4.06;Graduate
1;9853;1;1;123.00.00;19;19;9;7;117.04.00;0;1;0;0;19;0;6;0;0;00.00;0;0;6;0;0;00.00;0;11.01;00.06;02.02;Dropout
1;9070;1;1;130.00.00;3;1;2;8;122.02.00;0;1;0;0;20;4;10;12;10;13.00;0;5;11;11;11;12.272.727.272.727.200;0;11.01;00.06;02.02;Graduate
1;9238;1;1;122.00.00;37;38;4;7;118.02.00;0;1;0;0;19;0;6;0;0;00.00;0;0;6;0;0;00.00;0;16.02;00.03;-0.92;Dropout
1;9085;1;1;113.00.00;1;1;4;4;106.07.00;0;1;0;0;20;0;6;15;4;14.02;0;0;6;17;4;13.25;0;15.05;02.08;-4.06;Dropout
1;9500;1;1;111.00.00;3;4;4;3;108.02.00;0;1;0;0;20;2;7;9;6;13.266.666.666.666.600;0;0;7;10;5;12.03;0;12.04;00.05;0,096527778;Dropout
1;9853;1;1;133.01.00;19;1;9;3;107.00.00;0;1;0;0;20;0;7;12;6;11.666.666.666.666.600;0;0;7;10;3;13.00;0;16.02;00.03;-0.92;Enrolled
1;9238;1;1;142.00.00;37;37;6;7;136.01.00;0;1;0;0;18;0;6;8;6;13.857.142.857.142.800;0;0;6;6;6;15.00;0;13.09;-0.3;0,054861111;Graduate
1;9147;1;1;123.00.00;1;38;4;7;115.03.00;0;1;0;1;18;0;5;9;3;13.00;0;0;5;11;3;11.00;0;08.09;01.04;03.51;Enrolled
1;9085;1;1;131.00.00;19;19;9;9;139.08.00;0;1;0;0;19;0;5;6;5;13.04;0;0;5;5;5;12.08;0;10.08;01.04;0,093055556;Graduate
1;9773;1;1;158.00.00;1;38;4;7;157.00.00;0;1;0;0;18;0;6;6;6;12.666.666.666.666.600;0;0;6;7;6;12.571.428.571.428.500;0;10.08;01.04;0,093055556;Graduate
1;9500;1;1;122.00.00;37;37;9;9;131.00.00;0;1;0;0;18;0;7;7;6;12.516.666.666.666.600;1;0;7;7;6;12.516.666.666.666.600;1;07.06;02.06;00.32;Dropout
1;9500;1;1;130.00.00;38;38;9;5;100.00.00;0;1;0;0;20;0;7;11;6;11.616.666.666.666.600;0;0;7;7;7;13.00;0;13.09;-0.3;0,054861111;Enrolled
1;9238;1;1;154.00.00;19;37;9;7;140.04.00;0;1;0;1;20;0;6;13;2;10.00;0;0;6;12;4;0,46875;0;07.06;02.06;00.32;Enrolled
1;9147;1;1;120.00.00;19;19;3;3;113.04.00;0;1;0;0;20;0;5;11;3;10.333.333.333.333.300;0;0;5;10;3;10.666.666.666.666.600;0;12.04;00.05;0,096527778;Enrolled
1;9085;1;1;140.00.00;37;38;9;7;137.00.00;0;1;0;0;18;0;5;12;5;13.142.857.142.857.100;2;0;5;6;5;11.04;0;09.04;-0.8;-3.12;Graduate
1;9147;1;1;127.00.00;2;19;4;5;121.08.00;0;1;0;0;18;0;5;5;5;12.06;0;0;5;5;5;14.00;0;11.01;00.06;02.02;Graduate
1;9254;1;1;133.01.00;1;1;4;5;131.00.00;0;1;0;0;21;0;6;12;3;11.00;0;0;6;12;2;11.00;0;09.04;-0.8;-3.12;Dropout
1;9147;1;1;120.00.00;19;19;9;7;118.06.00;0;1;0;0;19;0;5;8;5;10.08;0;0;5;9;4;11.25;2;16.02;00.03;-0.92;Graduate
1;171;1;1;137.00.00;3;19;2;9;122.03.00;0;1;0;0;19;0;0;0;0;00.00;0;0;0;0;0;00.00;0;10.08;01.04;0,093055556;Dropout
1;9670;1;1;131.00.00;38;38;9;9;127.09.00;0;1;0;1;19;0;5;5;5;12.08;0;0;5;5;5;14.02;0;09.04;-0.8;-3.12;Graduate
1;9085;1;1;130.00.00;19;38;4;7;121.03.00;0;1;0;0;19;0;6;15;6;14.166.666.666.666.600;0;0;6;13;6;12.02;0;15.05;02.08;-4.06;Graduate
1;9556;1;1;122.00.00;1;1;4;5;117.01.00;0;1;0;0;19;0;7;12;5;12.01;0;0;7;0;0;00.00;0;13.09;-0.3;0,054861111;Dropout
1;9085;1;39;160.00.00;37;37;9;9;160.00.00;0;1;0;0;20;1;6;7;6;14.166.666.666.666.600;0;1;6;17;5;1.377.777.777.777.770;0;12.04;00.05;0,096527778;Graduate
1;9853;1;1;146.00.00;19;38;9;3;145.03.00;0;1;0;1;18;0;6;8;5;12.08;0;0;6;7;5;13.04;0;09.04;-0.8;-3.12;Enrolled
1;9238;1;1;131.00.00;1;39;5;3;122.06.00;0;1;0;0;18;0;6;7;6;13.00;0;0;6;6;6;13.666.666.666.666.600;0;12.04;00.05;0,096527778;Graduate
1;9500;1;1;132.00.00;1;37;8;9;128.00.00;0;1;0;0;19;0;7;7;7;13.467.142.857.142.800;0;0;8;9;8;15.011.111.111.111.100;0;12.04;00.05;0,096527778;Graduate
1;9500;1;1;138.00.00;19;19;5;8;124.09.00;0;1;0;1;18;0;7;9;7;132.375;0;0;8;9;7;13.742.857.142.857.100;0;13.09;-0.3;0,054861111;Dropout
1;9070;1;1;130.00.00;37;37;9;9;123.07.00;0;1;0;0;18;0;6;6;6;12.333.333.333.333.300;0;0;6;6;6;13.00;0;07.06;02.06;00.32;Graduate
1;9147;1;1;126.00.00;1;19;4;8;120.01.00;0;1;0;0;19;0;5;7;5;12.04;0;0;5;5;5;14.06;0;08.09;01.04;03.51;Graduate
1;9500;1;1;148.00.00;1;19;3;3;131.07.00;0;1;0;0;19;0;7;8;5;14.00;0;0;7;7;0;00.00;0;13.09;-0.3;0,054861111;Dropout
1;9238;1;1;130.00.00;38;37;9;7;133.02.00;0;1;0;0;20;5;9;15;9;11.666.666.666.666.600;0;2;7;8;7;11.714.285.714.285.700;0;07.06;02.06;00.32;Graduate
1;9670;1;1;117.00.00;1;38;3;9;109.03.00;0;0;0;1;19;0;6;7;5;12.00;0;0;6;9;4;12.05;0;12.04;00.05;0,096527778;Dropout
1;9670;1;1;120.00.00;19;19;5;5;113.00.00;0;1;0;0;20;0;5;7;4;12.02;0;0;5;5;4;11.05;0;07.06;02.06;00.32;Graduate
1;9773;1;1;153.00.00;1;1;141;175;157.09.00;0;1;0;1;18;0;6;6;6;14.833.333.333.333.300;0;0;6;6;6;14.833.333.333.333.300;0;08.09;01.04;03.51;Graduate
1;9500;1;1;117.00.00;19;1;4;7;112.01.00;0;1;0;1;20;0;7;9;5;13.188;0;0;8;9;7;12.892.857.142.857.100;0;11.01;00.06;02.02;Enrolled
1;9500;1;1;178.00.00;19;1;4;8;174.07.00;0;1;0;0;18;0;7;8;7;17.125;0;0;8;8;8;175.875;0;13.09;-0.3;0,054861111;Graduate
1;9500;1;1;129.00.00;37;37;9;9;128.08.00;0;1;0;0;19;0;7;7;6;12.666.666.666.666.600;0;0;7;7;6;12.666.666.666.666.600;0;07.06;02.06;00.32;Graduate
1;9773;1;1;116.00.00;19;1;4;4;110.01.00;0;1;0;1;19;0;6;8;6;12.666.666.666.666.600;0;0;6;10;5;12.00;0;12.04;00.05;0,096527778;Graduate
1;9147;1;1;99.00.00;3;1;3;3;99.07.00;0;0;0;0;22;0;5;8;0;00.00;0;0;5;7;0;00.00;0;08.09;01.04;03.51;Enrolled
1;9238;1;1;135.00.00;1;12;9;10;121.00.00;0;1;0;1;19;0;6;7;6;11.333.333.333.333.300;0;0;6;6;6;11.05;0;12.04;00.05;0,096527778;Graduate
